icao24,callsign,origin_country,longitude,latitude,baro_altitude,true_track,velocity_kmh,origin_country
4b1814,SWR115Y ,Switzerland,5.7799,47.7623,11102.34,292.34,764.892,Switzerland
4b1817,SWR253  ,Switzerland,25.7187,38.4401,10980.42,321.84,791.388,Switzerland
80162d,AXB1063 ,India,80.4389,27.1057,11582.4,310.29,733.212,India
4b1819,SWR438A ,Switzerland,4.3975,48.3102,8831.58,106.94,877.032,Switzerland
aa56db,UAL672  ,United States,-93.8002,36.118,11277.6,116.21,947.52,United States
a7b08d,LXJ595  ,United States,-72.1538,37.9609,13716.0,193.82,837.252,United States
a2e5ec,SKW4108 ,United States,-116.4007,33.4917,9448.8,91.09,976.1760000000002,United States
39de4a,TVF70LU ,France,0.026,46.0413,11582.4,26.78,863.028,France
408124,EXS632  ,United Kingdom,-4.1168,44.1196,10980.42,24.04,827.388,United Kingdom
7c6b2d,JST227  ,Australia,174.2474,-38.4486,8694.42,195.19,827.1,Australia
39de4d,TVF8285 ,France,6.9649,44.085,11582.4,329.35,813.744,France
39de4c,TVF56RX ,France,2.3785,48.7417,129.54,241.61,233.676,France
ade18c,AAL1945 ,United States,-81.7767,38.3475,8534.4,250.19,781.488,United States
a678de,N516MT  ,United States,-82.4568,27.9076,83.82,38.83,97.488,United States
ade191,DAL2778 ,United States,-86.8833,33.8371,9761.22,281.89,755.136,United States
ab6fdd,AAL1889 ,United States,-115.5267,35.77,4290.06,35.62,626.508,United States
c07d20,JZA7962 ,Canada,-75.5482,44.8184,6446.52,70.17,748.116,Canada
440da5,EJU31NE ,Austria,-3.0536,47.1606,10363.2,19.78,799.056,Austria
a9fc9d,N7422G  ,United States,-85.4337,34.7988,1249.68,128.09,174.132,United States
ade199,BRG681  ,United States,-162.7647,67.2239,1249.68,169.48,314.568,United States
80162f,AIC2437 ,India,75.5657,25.9275,10972.8,203.88,690.696,India
39de53,TVF98PP ,France,19.9048,39.8057,10370.82,307.44,776.772,France
a678e5,JTZ516  ,United States,-75.8271,38.9101,4503.42,49.56,725.184,United States
a305fd,SKW3778 ,United States,-92.6614,42.7661,9144.0,344.11,791.424,United States
880456,AIQ597  ,Thailand,108.2036,18.881,10363.2,230.66,809.316,Thailand
39de54,TVF69KD ,France,5.9749,46.0589,11277.6,130.84,883.6560000000001,France
acf9bd,N935RK  ,United States,-87.7213,39.4743,12496.8,168.25,855.0,United States
