icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
39de4f,TVF30KW ,France,1767710446.0,1767710446,-5.7336,41.453,11590.02,False,218.26,45.38,0.0,,11414.76,5206,False,0
e49406,GLO9039 ,Brazil,1767710442.0,1767710442,-43.3178,-22.3319,4404.36,False,142.24,255.76,-8.45,,4678.68,,False,0
4b1815,SWR252B ,Switzerland,1767710477.0,1767710482,32.5881,33.5218,11871.96,False,267.79,128.21,-0.33,,12214.86,3043,False,0
4b1819,SWR21M  ,Switzerland,1767710416.0,1767710474,8.5563,47.4527,,True,8.23,275.62,,,,3057,False,0
ac96b8,AAL820  ,United States,1767710426.0,1767710448,-116.8819,45.6421,11064.24,False,255.46,92.77,3.9,,11010.9,,False,0
a46e70,LXJ385  ,United States,1767710484.0,1767710484,-76.3134,37.1918,13106.4,False,199.81,203.2,-0.33,,13228.32,,False,0
ad4f1c,ERU957  ,United States,1767710453.0,1767710453,-81.2396,28.9229,1196.34,False,52.93,152.19,0.98,,1242.06,,False,0
801638,AXB1516 ,India,1767710447.0,1767710447,85.4304,19.2137,11582.4,False,202.22,220.25,0.0,,12222.48,5076,False,0
88044a,AIQ137  ,Thailand,1767710421.0,1767710421,96.0509,14.1218,9144.0,False,14.23,257.47,0.0,,,,False,0
39de4b,TVF54MM ,France,1767710483.0,1767710484,1.0614,47.3007,8404.86,False,175.04,16.04,-5.2,,8153.4,1000,False,0
408124,EXS623  ,United Kingdom,1767710484.0,1767710484,-1.9331,50.3783,10668.0,False,239.18,212.53,0.33,,10325.1,5240,False,0
39de4d,TVF91HP ,France,1767710484.0,1767710484,2.432,48.733,205.74,False,68.4,254.29,-3.25,,297.18,1000,False,0
408121,VIR45W  ,United Kingdom,1767710478.0,1767710478,-11.7801,52.7843,11277.6,False,205.47,277.48,0.0,,11209.02,1442,False,0
88044e,AIQ4353 ,Thailand,1767710464.0,1767710464,100.646,13.6862,2164.08,False,128.64,194.59,-10.4,,2308.86,,False,0
4b1812,SWR5YW  ,Switzerland,1767710473.0,1767710473,10.9258,43.8922,9753.6,False,260.39,328.16,0.33,,9547.86,,False,0
ade18c,AAL1523 ,United States,1767710417.0,1767710417,-104.6756,39.8627,,True,0.0,25.31,,,,3004,True,0
39de4c,TVF24JA ,France,1767710478.0,1767710478,-8.044,42.7386,10538.46,False,192.02,39.02,3.25,,10447.02,,False,0
88044d,AIQ519  ,Thailand,1767710464.0,1767710464,101.5973,14.7133,7353.3,False,230.89,239.32,-14.31,,7879.08,,False,0
39de57,TVF75MP ,France,1767710483.0,1767710484,8.1187,45.7532,11582.4,False,227.02,301.56,0.65,,11262.36,5723,False,0
a77ec5,EJA582  ,United States,1767710483.0,1767710484,-82.9936,39.6576,10972.8,False,165.46,247.9,0.0,,11033.76,,False,0
